Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Sister Chromatid Segregation (GO:0000819)	1/34	5.464285e-02	1.067323e-01	0	0	1.887689e+01	5.487394e+01	CENPK
GO_Biological_Process_2023	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	2/232	5.591662e-02	1.068403e-01	0	0	5.536325e+00	1.596617e+01	TRIM58;HLA-DRB1
GO_Biological_Process_2023	Platelet Aggregation (GO:0070527)	1/35	5.620534e-02	1.068403e-01	0	0	1.832077e+01	5.274080e+01	MYL9
GO_Biological_Process_2023	Inflammatory Response (GO:0006954)	2/236	5.763219e-02	1.068403e-01	0	0	5.440585e+00	1.552565e+01	PPBP;PF4V1
GO_Biological_Process_2023	Regulation Of Intracellular Protein Transport (GO:0033157)	1/36	5.776532e-02	1.068403e-01	0	0	1.779643e+01	5.074414e+01	IFI27
GO_Biological_Process_2023	Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)	1/36	5.776532e-02	1.068403e-01	0	0	1.779643e+01	5.074414e+01	HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of T Cell Proliferation (GO:0042130)	1/36	5.776532e-02	1.068403e-01	0	0	1.779643e+01	5.074414e+01	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of Immune Effector Process (GO:0002699)	1/37	5.932281e-02	1.078128e-01	0	0	1.730122e+01	4.887180e+01	HLA-DRB1
GO_Biological_Process_2023	Type I Interferon-Mediated Signaling Pathway (GO:0060337)	1/37	5.932281e-02	1.078128e-01	0	0	1.730122e+01	4.887180e+01	IFI27
GO_Biological_Process_2023	Cellular Response To Type I Interferon (GO:0071357)	1/38	6.087780e-02	1.096465e-01	0	0	1.683277e+01	4.711302e+01	IFI27
GO_Biological_Process_2023	Negative Regulation Of Lymphocyte Proliferation (GO:0050672)	1/39	6.243030e-02	1.096465e-01	0	0	1.638898e+01	4.545819e+01	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of ATP-dependent Activity (GO:0032781)	1/39	6.243030e-02	1.096465e-01	0	0	1.638898e+01	4.545819e+01	MYL4
GO_Biological_Process_2023	Retina Homeostasis (GO:0001895)	1/39	6.243030e-02	1.096465e-01	0	0	1.638898e+01	4.545819e+01	IGKC
GO_Biological_Process_2023	Positive Regulation Of Insulin Secretion (GO:0032024)	1/40	6.398031e-02	1.105114e-01	0	0	1.596795e+01	4.389876e+01	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763)	1/40	6.398031e-02	1.105114e-01	0	0	1.596795e+01	4.389876e+01	HLA-DRB1
GO_Biological_Process_2023	Heart Contraction (GO:0060047)	1/41	6.552783e-02	1.122567e-01	0	0	1.556797e+01	4.242708e+01	MYL4
GO_Biological_Process_2023	Cytokine-Mediated Signaling Pathway (GO:0019221)	2/257	6.693496e-02	1.137350e-01	0	0	4.987223e+00	1.348562e+01	PPBP;PF4V1
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Immunity (GO:0002711)	1/43	6.861544e-02	1.156502e-01	0	0	1.482515e+01	3.972010e+01	HLA-DRB1
GO_Biological_Process_2023	Mitotic Nuclear Division (GO:0140014)	1/45	7.169316e-02	1.195681e-01	0	0	1.414986e+01	3.728997e+01	CENPK
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	1/46	7.322832e-02	1.195681e-01	0	0	1.383472e+01	3.616636e+01	IGKC
GO_Biological_Process_2023	Regulation Of Interleukin-10 Production (GO:0032653)	1/46	7.322832e-02	1.195681e-01	0	0	1.383472e+01	3.616636e+01	HLA-DRB1
GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	1/46	7.322832e-02	1.195681e-01	0	0	1.383472e+01	3.616636e+01	MYL9
GO_Biological_Process_2023	Negative Regulation Of T Cell Activation (GO:0050868)	1/49	7.781903e-02	1.251091e-01	0	0	1.296810e+01	3.311234e+01	HLA-DRB1
GO_Biological_Process_2023	Interferon-Mediated Signaling Pathway (GO:0140888)	1/49	7.781903e-02	1.251091e-01	0	0	1.296810e+01	3.311234e+01	IFI27
GO_Biological_Process_2023	Positive Regulation Of Cell Death (GO:0010942)	1/50	7.934437e-02	1.256286e-01	0	0	1.270281e+01	3.218838e+01	HBZ
GO_Biological_Process_2023	Intracellular Iron Ion Homeostasis (GO:0006879)	1/50	7.934437e-02	1.256286e-01	0	0	1.270281e+01	3.218838e+01	ALAS2
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	1/51	8.086725e-02	1.270771e-01	0	0	1.244812e+01	3.130637e+01	HLA-DRB1
GO_Biological_Process_2023	mRNA Stabilization (GO:0048255)	1/53	8.390570e-02	1.308678e-01	0	0	1.196815e+01	2.965781e+01	IGF2BP2
GO_Biological_Process_2023	Striated Muscle Contraction (GO:0006941)	1/57	8.995340e-02	1.392612e-01	0	0	1.111105e+01	2.676056e+01	MYL4
GO_Biological_Process_2023	Regulation Of Cell Death (GO:0010941)	1/59	9.296272e-02	1.428618e-01	0	0	1.072683e+01	2.548220e+01	HBZ
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	2/316	9.543890e-02	1.455966e-01	0	0	4.038011e+00	9.486375e+00	TMOD1;MYL9
GO_Biological_Process_2023	Positive Regulation Of T Cell Differentiation (GO:0045582)	1/64	1.004439e-01	1.521215e-01	0	0	9.873016e+00	2.268973e+01	HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of Immune Response (GO:0050777)	1/66	1.034195e-01	1.555013e-01	0	0	9.568269e+00	2.171003e+01	HLA-DRB1
GO_Biological_Process_2023	Extrinsic Apoptotic Signaling Pathway (GO:0097191)	1/67	1.049038e-01	1.566063e-01	0	0	9.422822e+00	2.124575e+01	IFI27
GO_Biological_Process_2023	Protein K48-linked Ubiquitination (GO:0070936)	1/70	1.093423e-01	1.620747e-01	0	0	9.011775e+00	1.994551e+01	IFI27
GO_Biological_Process_2023	Myeloid Leukocyte Differentiation (GO:0002573)	1/71	1.108170e-01	1.631039e-01	0	0	8.882589e+00	1.954059e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Cellular Localization (GO:0060341)	1/72	1.122894e-01	1.641152e-01	0	0	8.757042e+00	1.914881e+01	TRIM58
GO_Biological_Process_2023	Protein Tetramerization (GO:0051262)	1/73	1.137594e-01	1.651091e-01	0	0	8.634983e+00	1.876960e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Immune Response (GO:0050776)	1/77	1.196159e-01	1.724118e-01	0	0	8.178865e+00	1.736757e+01	HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of Immune Response (GO:0050778)	1/80	1.239836e-01	1.762760e-01	0	0	7.867089e+00	1.642338e+01	HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901)	1/80	1.239836e-01	1.762760e-01	0	0	7.867089e+00	1.642338e+01	PRKAR2B
GO_Biological_Process_2023	Epidermis Development (GO:0008544)	1/85	1.312165e-01	1.828283e-01	0	0	7.396949e+00	1.502252e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Kinase Activity (GO:0043549)	1/85	1.312165e-01	1.828283e-01	0	0	7.396949e+00	1.502252e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Osteoblast Differentiation (GO:0045667)	1/85	1.312165e-01	1.828283e-01	0	0	7.396949e+00	1.502252e+01	HEMGN
GO_Biological_Process_2023	Regulation Of Type II Interferon Production (GO:0032649)	1/87	1.340934e-01	1.855994e-01	0	0	7.224201e+00	1.451500e+01	HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of Amide Metabolic Process (GO:0034249)	1/93	1.426688e-01	1.956020e-01	0	0	6.751019e+00	1.314579e+01	IGF2BP2
GO_Biological_Process_2023	Muscle Contraction (GO:0006936)	1/94	1.440900e-01	1.956020e-01	0	0	6.678091e+00	1.293758e+01	TMOD1
GO_Biological_Process_2023	Cellular Response To Oxygen-Containing Compound (GO:1901701)	2/406	1.441278e-01	1.956020e-01	0	0	3.124082e+00	6.051518e+00	PPBP;PF4V1
